wiederaufnahm der sitzungsperiod	resumpt of the session	0-0 1-1 1-2 2-3	-5.66567727612
uns hauptsach vorschlag laut :	our main propos are :	0-0 1-1 2-2 3-3 4-4	-7.08386691349
erst : moglich kurz zeitraum des doppelt umlauf der national wahrung und des euro ;	firstli , a period of dual circul of nation currenc unit and euro which is as short as possibl ;	0-0 8-1 8-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 7-10 11-11 13-12 8-13 8-14 2-15 3-16 2-17 2-18 14-19	-89.845561873
zweit : zeitraum der vorabausstatt - frontloading - der bank , geschaftsleut , offent verwalt und verbrauch spatest ab dem 1. dezemb 2001 ;	secondli , a period of advanc feed or " frontload " to bank , retail , public administr and consum from 1 decemb 2001 ;	0-0 0-1 3-2 2-3 3-4 4-5 4-6 4-7 4-8 6-9 4-10 10-11 9-12 10-13 4-14 12-15 13-16 14-17 15-18 16-19 18-20 20-21 21-22 22-23 23-24	-79.0080329892
dritt : preisangab in euro mit dem gegenwert in national wahrung vorzugsweis ab dem 1. januar 2001 ;	thirdli , to set price in euro with their equival in the nation currenc , prefer by 1 januari 2001 ;	0-0 12-1 13-2 2-3 2-4 3-5 4-6 5-7 2-8 7-9 8-10 6-11 9-12 10-13 12-14 11-15 12-16 14-17 15-18 16-19 17-20	-59.9020684905
viert : schrittweis verstarkt informationskampagn bis 2002 , insbesond fur die am meist benachteiligt grupp , durch systemat zusammenwirk mit dem schulwes , den nro und den informationsmedi im allgemein , vor all den sendung in bevorzugt sendezeit , fernsehnachricht und sportprogramm mit hoh einschaltquot ;	fourthli , inform campaign of increas intens until 2002 , particularli for the most vulner group , through systemat action togeth with the educ system , ngo and the media in gener ; particularli prime time televis , televis news broadcast and sport programm with high view figur ;	0-0 7-1 4-2 4-3 9-4 3-5 21-6 5-7 6-8 7-9 8-10 9-11 10-12 12-13 21-14 14-15 15-16 16-17 17-18 21-19 21-20 19-21 20-22 21-23 21-24 22-25 24-26 25-27 26-28 27-29 28-30 29-31 45-32 8-33 21-34 21-35 21-36 22-37 21-38 21-39 34-40 25-41 21-42 34-43 42-44 43-45 21-46 21-47 45-48	-201.535636576
funft : zunehm verwend des elektron geld und von kredit- und cash-kart sowi entwickl ein fur die ganz euro-zon kompatibl elektron kart oder geldbors , sobald dies technisch moglich ist , die so weitgeh eingesetzt werd kann , dass die kost dafur moglich niedrig sind ;	fifthli , the increas use of electron money , credit and debit card and the creation of an electron card or purs which can be use throughout the euro zone as soon as is technic possibl and that it use is widespread enough for the cost to be minim ;	0-0 30-1 31-2 2-3 3-4 4-5 5-6 6-7 8-8 9-9 10-10 11-11 21-12 12-13 16-14 11-15 12-16 14-17 20-18 21-19 22-20 11-21 37-22 36-23 35-24 34-25 17-26 16-27 18-28 18-29 25-30 25-31 25-32 26-33 27-34 28-35 30-36 31-37 32-38 34-39 29-40 11-41 11-42 15-43 39-44 40-45 41-46 35-47 11-48 45-49	-207.3593687
sechst : anpass von automat an die verwend der kompatibl kart bis 2002 und damit moglich weitgeh aufgab des betrieb mit munz und banknot ;	sixthli , the adapt of vend machin for the use of charg card until 2002 which will enabl them , as far as possibl , to work with coin and note ;	0-0 5-1 6-2 2-3 3-4 9-5 9-6 9-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 8-15 9-16 9-17 21-18 22-19 15-20 9-21 15-22 15-23 5-24 5-25 9-26 20-27 21-28 22-29 23-30 24-31	-132.52609869
siebt : spatest bis 2002 schaffung ein integriert zahlungssystem , das es ermoglicht , aus der euro-zon ein markt mit denselb norm zu mach , wie sie auf den binnenmarkt gelt .	seventhli , the creation , to be postpon until 2002 at the latest , of an integr payment system which will enabl us to transform the euro zone into a market with the same rule as domest market .	8-0 9-1 10-2 5-3 9-4 9-5 10-6 8-7 3-8 4-9 2-10 10-11 2-12 13-13 14-14 6-15 7-16 8-17 8-18 9-19 10-20 12-21 12-22 13-23 8-24 15-25 16-26 16-27 7-28 17-29 18-30 19-31 15-32 20-33 21-34 25-35 8-36 29-37 31-38	-164.45812864
herr prasident , jed einzeln der in dies bericht behandelt them erfordert ein eingeh und tiefgrund prufung , denn ihr umsetz muss vollstand sich und klar sein und von der bevolker gut angenomm werd .	mr presid , each one of the issu address in thi report requir more detail and deeper examin , as their applic need to be complet secur , clear and fulli accept by our citizen .	0-0 1-1 2-2 3-3 4-4 5-5 5-6 10-7 9-8 6-9 7-10 8-11 11-12 13-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22 17-23 21-24 22-25 23-26 24-27 25-28 24-29 22-30 32-31 32-32 15-33 15-34 34-35	-129.356573039
deshalb erwart wir , dass uns die kommission die massnahm vortragt , die nach ihr verstandnis in dies bereich ergriff werd muss .	we therefor hope that the commiss will introduc the measur that it feel must be adopt in thi area .	2-0 0-1 1-2 4-3 6-4 7-5 8-6 10-7 8-8 9-9 11-10 14-11 10-12 21-13 20-14 19-15 16-16 17-17 18-18 22-19	-71.9152946243
weg ihr auswirk auf das leb der burg muss dies angeleg vom europa parlament , der unmittelbar vertret der wahl , mit gross aufmerksam verfolgt werd .	on account of it implic for the live of our citizen , thi issu must be close support by the european parliament , the direct repres of the elector .	15-0 16-1 18-2 1-3 2-4 3-5 4-6 5-7 6-8 7-9 7-10 14-11 9-12 10-13 8-14 25-15 24-16 24-17 11-18 11-19 12-20 13-21 14-22 15-23 16-24 17-25 18-26 18-27 19-28 26-29	-111.423140056
ich hoff , dass die kommission , der rat und die europa zentralbank in dies bereich erst grundsatzentscheid treff , nachd sie uns konsultiert hab .	i hope that the commiss , the council and the european central bank onli take decis that are fundament to thi issu , have consult us first .	0-0 1-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 12-12 16-13 17-14 17-15 19-16 21-17 17-18 19-19 14-20 15-21 19-22 20-23 23-24 22-25 16-26 25-27	-90.1336719503
herr prasident ! entsprech den festleg im madrid szenario ist die dritt stuf der wirtschafts- und wahrungsunion am 1. januar dies jahr effektiv in kraft getret .	mr presid , the third phase of econom and monetari union enter into effect on 1 januari of thi year , as detail in the madrid scenario .	0-0 1-1 2-2 10-3 11-4 12-5 13-6 14-7 15-8 16-9 16-10 25-11 25-12 22-13 17-14 18-15 19-16 20-17 20-18 21-19 2-20 3-21 8-22 6-23 6-24 7-25 8-26 26-27	-85.026462169
ebenfall gemass dies szenario hat der rat mit unterstutz dies haus beschloss , dass die euro-munz und -banknot ab dem 1. januar 2002 als gesetz zahlungsmittel in umlauf gebracht werd .	also , in accord with thi scenario , the council , back by thi hous , ha decid that euro coin and banknot will be circul as legal tender as from 1 januari 2002 .	0-0 12-1 26-2 1-3 1-4 2-5 3-6 5-7 5-8 6-9 12-10 17-11 17-12 9-13 10-14 12-15 11-16 11-17 13-18 15-19 15-20 16-21 17-22 18-23 29-24 27-25 23-26 24-27 25-28 23-29 18-30 20-31 21-32 22-33 30-34	-123.294753373
das gross verdien von madrid besteht darin , dass fruhzeit ein klar zeitplan aufgestellt wurd , uber den ausfuhr berichtet word ist .	one of madrid ' s key contribut is that it draft a clear schedul earli on , which wa preced by extens deliber .	4-0 3-1 4-2 4-3 2-4 2-5 2-6 5-7 6-8 6-9 13-10 10-11 11-12 12-13 9-14 16-15 15-16 15-17 14-18 2-19 3-20 18-21 2-22 22-23	-118.238763205
mein fraktion unterstutzt den standpunkt der kommission , demzufolg die sogenannt ubergangszeit am best unverandert bleib sollt , obwohl ihr end in den mit dem jahres verbund hochbetrieb im handel fallt .	my group support the commiss in it viewpoint that the so-cal transit period should ideal be maintain , despit the fact that it laps coincid with the frantic christma shop period .	0-0 1-1 2-2 3-3 6-4 21-5 19-6 27-7 7-8 9-9 10-10 11-11 11-12 16-13 27-14 16-15 15-16 17-17 18-18 22-19 18-20 17-21 19-22 27-23 27-24 23-25 24-26 27-27 27-28 27-29 11-30 31-31	-135.875437868
die vorbereit sind jedoch zu weit fortgeschritt , als dass noch mit aussicht auf erfolg ander vorgenomm werd konnt .	prepar are now too far advanc to be abl to success implement ani chang .	1-0 2-1 6-2 4-3 5-4 6-5 7-6 17-7 18-8 13-9 14-10 6-11 15-12 15-13 19-14	-63.745272161
am 1. januar 2002 wird der euro das gesetz zahlungsmittel in der euro-zon .	on 1 januari 2002 , the euro will becom legal tender within the euro zone .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 4-7 9-8 8-9 9-10 10-11 11-12 12-13 12-14 13-15	-42.9525111136
national wahrungsein durf dann hochst noch sech monat lang in umlauf bleib , die national gesetzgeb konn dies zeitraum aber fur ihr hoheitsgebiet verkurz .	nation currenc unit will remain in circul for a maximum of six month , but nation legisl may decid to shorten thi period within their territori .	0-0 1-1 10-2 11-3 11-4 9-5 10-6 8-7 8-8 4-9 13-10 6-11 7-12 12-13 19-14 14-15 15-16 1-17 1-18 20-19 23-20 17-21 18-22 22-23 21-24 22-25 24-26	-104.347864119
viel mensch werd die einfuhr des euro und der wahrungsunion erst dann in ihr ganz tragweit begreif , wenn sie die umstell in ihr eig portemonnai vornehm muss .	mani will not be fulli awar of the advent of the euro and monetari union until they have to make the changeov in their own purs .	0-0 2-1 14-2 11-3 15-4 16-5 20-6 20-7 25-8 5-9 5-10 6-11 7-12 9-13 9-14 10-15 11-16 27-17 28-18 26-19 20-20 21-21 22-22 23-23 24-24 25-25 28-26	-110.404750231
ich unterstutz anderungsantrag nr. 20 , in dem festgestellt wird , dass die gegenwart situation , die derzeit schlussfolger , nur fur dies jahr anwendbar ist .	i support amend no 20 which say that the present situat , the present conclus , is adequ for thi year onli .	0-0 1-1 2-2 3-3 4-4 5-5 8-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 25-16 24-17 21-18 22-19 23-20 20-21 26-22	-59.6143169804
sie hab die altersgrenz erreicht und werd in den ruhestand tret .	those peopl are get older and will retir .	2-0 3-1 6-2 9-3 3-4 5-5 6-6 9-7 11-8	-39.1083500217
dies anlag durf dah nicht als forschungsanlag im heutig sinn betrachtet werd .	these instal , therefor , should not be consid research instal in the sens that is understood today .	0-0 1-1 3-2 3-3 3-4 6-5 4-6 11-7 10-8 6-9 1-10 7-11 7-12 9-13 0-14 0-15 6-16 8-17 12-18	-80.708102887
das kann zu komplikation beim ruckbau und ausserd zu weit finanzierungsproblem fuhr .	thi can lead to complic dure decommiss activ and can also result in addit financi problem .	0-0 1-1 11-2 2-3 3-4 4-5 5-6 10-7 6-8 1-9 7-10 10-11 4-12 10-13 10-14 10-15 12-16	-66.5499217223
das impliziert zugleich , dass fur aus kernenergi gewonn elektrizitat zu niedrig preis angesetzt werd .	it also impli that the price charg for electr gener by nuclear energi is too low .	0-0 2-1 1-2 4-3 0-4 12-5 9-6 10-7 9-8 9-9 10-10 7-11 7-12 0-13 10-14 11-15 15-16	-82.1002889118
deshalb geht es nicht nur darum , dies arbeit unt strikt einhalt der geltend sicherheitsnorm durchzufuhr , sond gleichzeit auch der ortlich bevolker garanti fur die hoch qualitat dies massnahm zu biet , die demzufolg auf die grosstmog wahrung der unversehrt von mensch und umwelt abziel muss .	we must therefor not onli carri out the oper in the strictest observ of the current safeti rule but we must also be abl to reassur the local popul that the oper will be of the highest qualiti , and they must therefor be base on the greatest respect for the qualiti of the whole of the environ and human life .	46-0 46-1 0-2 3-3 4-4 15-5 15-6 12-7 14-8 9-9 12-10 14-11 11-12 12-13 12-14 13-15 14-16 14-17 17-18 46-19 46-20 19-21 10-22 14-23 16-24 14-25 20-26 21-27 22-28 32-29 33-30 14-31 31-32 30-33 24-34 25-35 26-36 27-37 32-38 43-39 40-40 46-41 0-42 2-43 14-44 35-45 36-46 37-47 38-48 24-49 25-50 27-51 12-52 12-53 14-54 12-55 12-56 44-57 43-58 40-59 40-60 47-61	-294.297358855
mich beunruh fern die unwagbar hinsicht der endlager der abfall , die das aktionsprogramm belast .	i am also concern by the uncertainti which cloud the action programm , in term of the final storag of the wast .	0-0 0-1 2-2 1-3 4-4 3-5 4-6 3-7 4-8 12-9 13-10 13-11 10-12 5-13 5-14 6-15 6-16 7-17 7-18 8-19 8-20 9-21 15-22	-83.7080194022
deshalb muss dies frag in die derzeit stattfind verhandl im rahm des haushaltstrilog aufgenomm werd , und ich hoff , dass sie die prasidentin , frau fontain , auf dies tatsach aufmerksam mach und dass der vorsitz des ausschuss fur industri sein kolleg vom haushaltsausschuss davon in kenntnis setzt .	thi matter , madam presid , must be ad to the current budgetari trialogu negoti and i should like you to draw the attent of the presid of parliament , mr fontain , to thi . i should also like the chairman of the parliamentari committe on industri , extern trade , research and energi to make hi fellow chairman on the committe on budget awar of thi .	2-0 3-1 24-2 23-3 23-4 24-5 1-6 1-7 12-8 15-9 5-10 6-11 12-12 12-13 8-14 16-15 17-16 20-17 21-18 21-19 28-20 31-21 35-22 31-23 35-24 35-25 36-26 11-27 12-28 24-29 25-30 26-31 27-32 28-33 29-34 49-35 17-36 20-37 12-38 17-39 35-40 36-41 37-42 37-43 38-44 38-45 39-46 40-47 15-48 12-49 12-50 15-51 12-52 16-53 12-54 28-55 32-56 41-57 42-58 36-59 37-60 37-61 38-62 39-63 44-64 12-65 28-66 29-67 49-68	-317.590593134
ich halt die von uns kolleginn und kolleg gefordert transparenz fur absolut notwend , damit wir kunftig die kernergi fur das bezahl lass konn , was in ihr verantwort liegt .	in my opinion , it is absolut vital to achiev thi transpar which our fellow deleg are press for , so that , in futur , we can have nuclear energi pay for it legaci .	26-0 7-1 18-2 24-3 27-4 29-5 11-6 18-7 19-8 18-9 20-10 9-11 13-12 4-13 7-14 18-15 17-16 18-17 19-18 13-19 14-20 14-21 24-22 26-23 16-24 13-25 15-26 23-27 21-28 18-29 18-30 21-31 19-32 20-33 18-34 30-35	-168.874598094
ich tue dies , wenn ich so sag darf , schwer herz , denn die wiederholt ausnahmeregel sind ­ das belegt die realitat ­ nicht darauf ausgerichtet , das probl des alkoholismus zu los , das von den betreff land vorgeschob wird , um nicht die ubermass hoh verbrauchsteu zu senk , die vor all auf wein und bier erhob werd .	i do so , if i may say , with a heavi heart , becaus these continu derog are not calcul - as event show - to solv the problem of alcohol which these countri use as a reason not to reduc their exorbit excis duti , particularli on wine and beer .	0-0 1-1 1-2 3-3 4-4 5-5 8-6 7-7 9-8 9-9 9-10 10-11 11-12 12-13 13-14 38-15 40-16 16-17 17-18 24-19 31-20 23-21 27-22 31-23 31-24 23-25 32-26 33-27 28-28 29-29 30-30 31-31 37-32 38-33 39-34 18-35 13-36 59-37 58-38 44-39 49-40 50-41 46-42 31-43 48-44 48-45 51-46 53-47 55-48 56-49 57-50 58-51 61-52	-237.455192062
dies wird als teil der strategi fur die offent gesund empfohl .	thi is recommend as a part of public health strategi .	0-0 1-1 10-2 2-3 2-4 3-5 4-6 8-7 9-8 5-9 11-10	-33.0563713779
gleichzeit hab wir in schwed ein regier , die unt dem druck der bevolker versucht hat , die allgemein forder nach bess zugang zu alkohol zu erfull .	at the same time , what we have in sweden is a govern which , have yield to public pressur , ha tri to meet the public 's demand for easier access to alcohol .	0-0 8-1 0-2 0-3 7-4 2-5 2-6 1-7 3-8 4-9 5-10 5-11 6-12 7-13 7-14 1-15 24-16 25-17 13-18 11-19 16-20 15-21 14-22 25-23 26-24 12-25 13-26 12-27 19-28 20-29 24-30 22-31 23-32 24-33 27-34	-145.87648358
ist dies ein sogenannt recht ?	should that be a so-cal right ?	3-0 1-1 2-2 2-3 3-4 4-5 5-6	-21.8703075842
der vorschlag der kommission spiegelt den zwisch schwed und der kommission erzielt kompromiss hinsicht der verlanger der moglich wid , mengenmass beschrank fur verbrauchsteuerpflicht war aufzuerleg , die reisend aus and mitgliedstaat nach schwed einfuhr konn .	the commiss propos reflect the compromis which ha been reach between sweden and the commiss regard prolong the possibl of appli restrict to product subject to excis duti which may be brought into sweden by travel from other member state .	2-0 3-1 1-2 4-3 5-4 12-5 19-6 11-7 11-8 12-9 6-10 7-11 8-12 9-13 10-14 13-15 15-16 16-17 17-18 22-19 23-20 21-21 22-22 23-23 23-24 22-25 23-26 23-27 19-28 20-29 24-30 23-31 23-32 33-33 27-34 28-35 29-36 30-37 31-38 31-39 36-40	-153.537857138
aber nochmal , die ausnahm wird keinesfall fur imm gelt .	but - onc again - thi except wa certainli not meant to last forev .	0-0 2-1 1-2 1-3 2-4 3-5 4-6 4-7 6-8 6-9 6-10 7-11 6-12 6-13 10-14	-74.8394461963
all land , all mitgliedstaat der europa union hab alkoholproblem , kenn alkoholproblem , und all mitgliedstaat der europa union verfolg ein antialkoholpolit .	all countri , all eu member state have alcohol-rel problem , and know about alcohol-rel problem , and all eu member state are adopt an anti-alcohol polici .	0-0 1-1 2-2 3-3 7-4 4-5 4-6 8-7 22-8 12-9 13-10 14-11 11-12 22-13 22-14 12-15 13-16 14-17 15-18 19-19 16-20 16-21 22-22 22-23 21-24 22-25 22-26 23-27	-100.048097098
die entwickl auf dies gebiet konn sehr bedeutsam und die konsequenz ausserst nutzbring sein .	what ha happen in thi field may be veri signific and it may have veri benefici consequ .	12-0 12-1 12-2 2-3 3-4 4-5 5-6 5-7 6-8 7-9 8-10 13-11 12-12 14-13 11-14 12-15 10-16 14-17	-73.7304120324
wenn man die rechtsvorschrift vereinfach will , wird es auch notwend sein , die anzahl der vorschrift zu reduzi und die initiativ zu rationalisi .	if we want to simplifi the legisl , it will also be necessari to reduc the number of regul and rationalis the initi .	0-0 1-1 5-2 5-3 4-4 2-5 3-6 6-7 8-8 7-9 9-10 11-11 10-12 17-13 18-14 13-15 14-16 15-17 16-18 19-19 23-20 20-21 21-22 24-23	-74.7085828225
dies gilt auf jed fall fur die bors . hier muss wir entscheid , ob die kontroll den national instanz uberlass oder ein europa behord geschaff werd soll .	certainli in the case of stock market , whether we should leav everyth to nation supervisori instanc or whether there should be someth at european level is a valid question .	4-0 5-1 6-2 4-3 6-4 7-5 7-6 13-7 14-8 11-9 10-10 20-11 7-12 17-13 18-14 7-15 19-16 21-17 14-18 9-19 10-20 10-21 7-22 2-23 23-24 7-25 8-26 8-27 7-28 7-29 8-30	-154.661638867
finnland wurd ein verlanger dies ausnahmeregel bis zum jahr 2003 gewahrt .	finland obtain an extens of thi derog until 2003 .	0-0 5-1 2-2 3-3 4-4 4-5 5-6 6-7 9-8 11-9	-31.0396016143
finnland kann jedoch uberzeugt werd , zumind hoff wir das , dass ein verringer der unterschied in den verbrauchsteu gegenub and mitgliedstaat und benachbart drittland das best mittel war , ein zunahm des grenzuberschreit handel zu verhind , der dem land problem bereitet , und zwar mit wesent gross erfolgschanc als dies bei der aufrechterhalt und verstark mengenmass beschrank der fall ist .	we at least hope , though , that finland may be persuad that reduc the gap between it own excis duti and those implement by the other member state and neighbour third countri would be the best mean of prevent an increas in the cross-bord trade which present a problem , and that such a polici would have much more chanc of success than maintain and intensifi restrict on quantiti .	8-0 6-1 6-2 7-3 2-4 2-5 10-6 11-7 0-8 1-9 4-10 57-11 11-12 13-13 14-14 57-15 15-16 45-17 57-18 18-19 18-20 22-21 51-22 57-23 59-24 59-25 20-26 21-27 21-28 22-29 23-30 24-31 24-32 28-33 28-34 25-35 26-36 27-37 32-38 36-39 30-40 31-41 31-42 32-43 33-44 34-45 37-46 57-47 30-48 41-49 43-50 44-51 11-52 23-53 30-54 31-55 28-56 46-57 47-58 48-59 49-60 51-61 49-62 50-63 54-64 55-65 57-66 58-67 59-68 57-69 62-70	-329.048611366
ich bedau die zuruckhalt , die die kommission diesbezug an den tag legt , herr kommissar , um so mehr , als sie als rechtsgrundlag artikel 93 des vertrag gewahlt hab , in dem es um die harmonisier der indirekt steu geht .	commission , i deplor the commiss 's retic on thi subject , especi given that you use articl 93 of the treati as a legal basi , and thi deal specif with the harmonis of indirect duti and tax .	15-0 16-1 0-2 1-3 6-4 7-5 2-6 3-7 8-8 8-9 8-10 9-11 26-12 26-13 20-14 22-15 26-16 25-17 26-18 27-19 27-20 28-21 23-22 23-23 24-24 24-25 16-26 16-27 18-28 26-29 26-30 35-31 36-32 37-33 38-34 39-35 26-36 31-37 40-38 42-39	-178.674812094
ich stimm frau lulling voll und ganz zu , wenn sie sagt , dass alkoholproblem nicht behob werd , ind die einfuhr beschrankt , preis hoch gehalt werd und der verkauf von alkohol in den hand des staat verbleibt .	i quit agre with what mr lull said , that the alcohol problem cannot be resolv by restrict import , nor can it be resolv by keep price high and the sale of alcohol in the hand of a monopoli .	0-0 6-1 1-2 1-3 14-4 2-5 3-6 11-7 12-8 13-9 29-10 32-11 14-12 15-13 17-14 16-15 19-16 22-17 21-18 12-19 14-20 14-21 10-22 17-23 16-24 19-25 14-26 24-27 25-28 28-29 29-30 30-31 31-32 32-33 33-34 34-35 35-36 36-37 12-38 14-39 39-40	-165.683726021
durch die nachbarschaft von drittland , d. h. in dies fall russland und estland , wird das probl noch verstarkt .	the problem is , of cours , much more acut becaus of our proxim to third countri , that is to say russia and estonia .	16-0 17-1 6-2 5-3 3-4 2-5 5-6 18-7 19-8 13-9 13-10 1-11 2-12 2-13 5-14 4-15 4-16 5-17 5-18 6-19 5-20 7-21 11-22 12-23 13-24 20-25	-111.603077567
ganz im gegenteil : es gibt es viel untersuch , die dies beleg .	on the contrari , there is a good deal of research to show that it is in fact effect .	2-0 1-1 2-2 1-3 5-4 6-5 9-6 12-7 7-8 10-9 8-10 9-11 12-12 11-13 4-14 4-15 1-16 2-17 12-18 13-19	-92.2455004622
die berichterstatterin , frau lulling , wollt dies jedoch nicht akzepti , sond sie fordert statt dess , dass gegenub drittland die gleich zeitlich vorgab gelt soll wie fur den binnenmarkt .	howev , the rapporteur , mr lull , felt unabl to accept thi and is instead demand that the same time limit appli in regard to third countri as appli to the intern market .	8-0 8-1 0-2 1-3 2-4 3-5 4-6 5-7 24-8 24-9 26-10 10-11 16-12 17-13 16-14 15-15 14-16 18-17 21-18 22-19 23-20 23-21 25-22 28-23 19-24 19-25 20-26 20-27 27-28 25-29 26-30 29-31 30-32 30-33 31-34	-133.646068956
wie gesagt handelt es sich wirklich um ein angeleg des fiskus .	it is , as ha been said , in actual fact a fiscal problem .	3-0 3-1 4-2 0-3 1-4 1-5 1-6 4-7 6-8 10-9 10-10 7-11 10-12 10-13 11-14	-57.9842737079
ich bin sehr enttauscht darub , dass der europa gerichtshof befund hat , dass ein diskriminier zeitbegrenz fur die burg von drittland eingefuhrt werd kann .	i am veri disappoint that the court of justic of the european commun consid that a discriminatori time limit could be introduc for citizen from third countri .	0-0 1-1 2-2 3-3 6-4 7-5 9-6 7-7 9-8 7-9 7-10 8-11 16-12 16-13 13-14 14-15 15-16 16-17 16-18 16-19 23-20 22-21 17-22 19-23 20-24 21-25 21-26 25-27	-87.0636447998
frau prasidentin ! finnland hat ein ubergangszeit fur die angleich der einfuhrbestimm fur alkohol auf das niveau der eu erhalt .	madam presid , finland ha had a period of transit to adapt regul for import of alcohol to eu level .	1-0 1-1 2-2 3-3 4-4 4-5 5-6 6-7 5-8 6-9 7-10 11-11 11-12 12-13 11-14 12-15 13-16 14-17 18-18 16-19 20-20	-59.931330945
die arbeitsgrupp slim-intrastat hat vorgeschlag , dies nomenklatur zu vereinfach und bess auf die tatsach bedurfnis des benutz abzustimm , wobei aber ihr verbind zu der fur den warenverkehr mit drittland verwendet nomenklatur und ihr koharenz mit den and statist nomenklatur erhalt werd muss .	the slim intrastat work parti ha propos to simplifi thi nomenclatur and better tailor it to the real need of the user without advers affect the link with the nomenclatur for the transport of good with third countri , or the connect with other statist nomenclatur .	0-0 2-1 2-2 1-3 1-4 3-5 4-6 8-7 9-8 6-9 7-10 10-11 11-12 2-13 3-14 12-15 13-16 14-17 15-18 16-19 16-20 17-21 2-22 2-23 2-24 0-25 23-26 36-27 37-28 40-29 26-30 27-31 2-32 27-33 28-34 29-35 30-36 30-37 5-38 7-39 0-40 2-41 36-42 38-43 39-44 40-45 44-46	-177.75548929
ich mocht sie zu der geleistet arbeit begluckwunsch .	i would like to congratul them on their work .	0-0 1-1 1-2 3-3 7-4 2-5 3-6 5-7 6-8 8-9	-30.860756775
( die sitzung wird um 23.40 uhr geschloss . )	( the sit wa close at 11.40 p.m. )	0-0 1-1 2-2 5-3 7-4 6-5 5-6 6-7 9-8	-20.6122873802
als vorsitz des zentralrat der jud in russland und vizeprasident des judisch weltkongress ist herr gusinskij ein einflussreich person des offent leb in russland .	mr gusinski is a lead russian commun leader , be chairman of the russian jewish congress and deputi chairman of the world jewish congress .	14-0 3-1 13-2 16-3 3-4 3-5 3-6 3-7 4-8 3-9 1-10 2-11 2-12 3-13 11-14 12-15 8-16 3-17 1-18 2-19 4-20 12-21 11-22 12-23 24-24	-100.032688595
das war das end der russisch mitgliedschaft im europarat , in der partnerschaft fur den fried , das end der tacis-hilf und der anfang ein neu wettrust .	it will mean goodby council of europ , goodby partnership for peac , farewel taci and a warm welcom to a new arm race .	17-0 20-1 20-2 20-3 8-4 7-5 8-6 9-7 20-8 12-9 13-10 15-11 16-12 20-13 20-14 21-15 24-16 20-17 20-18 22-19 24-20 25-21 26-22 26-23 27-24	-92.345820883
( das parlament genehmigt das protokoll . )	( parliament approv the minut )	0-0 2-1 3-2 4-3 5-4 7-5	-9.28933387776
der vorschlag lautet dah , uber beid frag gemeinsam in ein paket abzustimm ; das ist die zweit moglich .	the motion , therefor , is to vote on both question jointli as a packag and that is our second option .	14-0 12-1 4-2 3-3 4-4 2-5 4-6 12-7 5-8 6-9 7-10 8-11 9-12 10-13 11-14 14-15 14-16 15-17 16-18 17-19 18-20 19-21	-86.540905477
es hat erheb fortschritt und annaher gegeb , in viel punkt sind kompromiss erzielt word .	consider progress ha been made toward consensu and a compromis ha been reach on numer point .	2-0 3-1 1-2 1-3 3-4 5-5 5-6 4-7 2-8 12-9 13-10 14-11 13-12 10-13 5-14 10-15 15-16	-73.8538373827
wir hab ein verfahrensvorschlg des vorsitz des landwirtschaftsausschuss .	the chairman of the committe on agricultur ha tabl a procedur motion .	4-0 5-1 6-2 6-3 7-4 6-5 7-6 3-7 3-8 2-9 3-10 3-11 8-12	-40.1632599606
wird sind zuversicht , dass auch noch and fraktion , die im moment noch nicht uber eig europa partei verfug , in dies kons mit eingebund werd konn .	we are confid that other group which do not yet have their own european parti can be includ in thi consensu .	1-0 1-1 2-2 4-3 7-4 8-5 9-6 14-7 14-8 13-9 15-10 16-11 16-12 17-13 18-14 27-15 26-16 25-17 21-18 22-19 23-20 28-21	-73.6394366421
an mir war es damal , die einbind dies artikel mit dem ratsprasident lubb zu verhandeln , und ich mocht ihm mein achtung zoll , denn ich glaub , es war ein wichtig schritt .	it fell to me at that time to negoti it inclus with presid of the council lubber and i would like to pay tribut to him becaus i believ that it wa an import step .	3-0 13-1 14-2 1-3 4-4 5-5 4-6 14-7 15-8 3-9 7-10 10-11 12-12 11-13 11-14 12-15 13-16 17-17 18-18 19-19 19-20 24-21 23-22 23-23 24-24 20-25 25-26 26-27 27-28 28-29 29-30 30-31 31-32 32-33 33-34 34-35	-123.555138608
wir woll , dass ein probl gelost wird , das nicht einfach ein gesetzesluck , sond ein konstitutionell probl fur die europa union darstellt .	we want to resolv thi problem which is not just a question of a legal vacuum but a constitut problem for the european union .	0-0 1-1 2-2 6-3 9-4 5-5 8-6 9-7 10-8 11-9 12-10 13-11 12-12 12-13 13-14 13-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22 22-23 24-24	-71.0608612197
mein fraktion hat schritt in dies richtung schon vor dem rechnungshofbericht in die weg geleitet , um endgult dies transparenz und dies trennung klarzumach .	my group start take step in thi direct even befor the court of auditor ' report in order to clarifi thi transpar and thi divis .	0-0 1-1 10-2 3-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 9-12 10-13 10-14 10-15 11-16 16-17 9-18 10-19 18-20 19-21 20-22 21-23 22-24 24-25	-85.3030205719
